Serial ,Date,User,Tweet
85,2022-08-07 04:22:55+00:00,flyingbeast320,"हमारा धर्म शांति का प्रतीक है । लेकिन अपने आत्मसम्मान की रक्षा हेतु युद्ध करना भी सिखाता है ।
 
#Swaaha https://t.co/rkOhiQ2ZiP"
86,2022-08-06 16:21:46+00:00,flyingbeast320,This must be @livemint ‘s company policy.
87,2022-08-06 16:15:15+00:00,flyingbeast320,"This woman journo peddled vicious attack on my daughter and wife under journalistic freedom of speech .
But pretended like a poor woman when received criticism herself.
.
Freedom of speech ab gayi तेल लेने 
.
*hiding her identity now*
#SehLengeThoda https://t.co/oDKMPbZmDx"
88,2022-08-06 11:12:35+00:00,flyingbeast320,@linkjiten @livemint https://t.co/eIo7H1M1ZD
89,2022-08-06 11:10:55+00:00,flyingbeast320,@dsnegiOfficial @livemint Bhai nahi hai tu
90,2022-08-06 11:07:57+00:00,flyingbeast320,Agar @livemint se 2 crore mil gaya to sabko Noida Metro mein party !!
91,2022-08-06 05:12:42+00:00,flyingbeast320,"You got me hate !!
I got you flowers @livemint 
#Swaaha https://t.co/BPOnVujYEl"
92,2022-08-05 18:18:09+00:00,flyingbeast320,"कृपया Article ki आत्मा की शांति के लिये  2 min का मौन रखें ।
#swaaha https://t.co/RONpk2dGKu"
93,2022-08-05 15:27:28+00:00,flyingbeast320,"It was traumatic for me as a parent, to be called a child abuser @livemint"
94,2022-07-30 10:51:04+00:00,flyingbeast320,"India’s first medal at #CommonwealthGames2022 
Sanket Sagar, Silver, Weightlifting https://t.co/4uuxX4jHDN"
95,2022-07-28 06:14:15+00:00,flyingbeast320,"Received a threat call against our 4 yr old daughter.
Police complaint registered.
@DelhiPolice @HMOIndia https://t.co/FobjcwjLMd"
96,2022-07-26 04:35:33+00:00,flyingbeast320,"देश के वीरों को नमन 🙏
#KargilVijayDiwas"
97,2022-07-24 16:10:17+00:00,flyingbeast320,"हर हर महादेव 🕉
#kavadYatra https://t.co/tXYC75RxV6"
